Status,,,,,,,
RT @PhilosophyNook: Senior #Liberal and #Labor MPs in #Australia condemned the #CCP,,,,,,,
One blamed them for a coverup of #COVID19 causing the…,,,,,,,
RT @AadityaDar: Most workers fear that they won't be able to find work and will run out of food/ration,,,,,,,
#VoicesOfInvisibleCitizens #Migrants…,,,,,,,
RT @emigre80: I understand that this is particularly true for Florida. After this is all over, @narendramodi ji requested for 9. ,,,,,,
RT @channelstv: COVID-19: ASUP Suspends Planned Indefinite Strike,specia…,,,,,,
https://t.co/73E0lANQGe https://t.co/MRCkCob99D,,,,,,,
RT @DrIanWeissman: Where Are the Most Effective Anti-COVID-19 Strategies That Countries Have Developed? @DrPascalMeier @evankirstel @Vilava…,,,,,,,
RT @MiniiAdventurer: So this is just my plant section of prints I’m selling. I also have a “Conceptual” and “Sky/Texture” collection on my…,,,,,,,
RT @FluTrackers: Canada - All of Quebec now affected by community transmission of COVID-19,,,,,,,
Don’t miss out on this great free seminar with Adrienne Saunders.,,,,,,,
The Secrets of Great Teamwork - relevant as team… https://t.co/Vf47MpSleG,0,,,,,,
RT @mintnews: We decided to hold a little quarantine Zumba Session for our street! Go Ginny ❤️ #mintcondition #quarantine #corona #covid-19…,,,,,,,
#9बजे9मिनट How are we suppose to protect people with respiratory problems from Covid-19 when we cannot even give th… https://t.co/6Rb2owunTy,,,,,,,
RT @marty_walsh: For people in recovery, by the foreign countries they are studying in, to leave? ,,,,,
Net or gross? Chr,,,,,,,
@Rahuli97 Hi,,,,,,,
Stay safe stay home,493 additional positive cases of COVID-19,,,,,,
Dr. Henry what is your advice? What was the advice before widespread #COVID19? Man Camps going forward was a politi… https://t.co/ANqTIPU2VH,510 total cases statewide…,,,,,,
RT @NeyaVN: @MtnMD Leadership vs leadershit,,,,,,,
#trump #COVID19,,,,,,,
RT @Eliza_x5: Due to #COVID19 aka #CoronavirusOutbreak Ill be sending the first 900 people to like &amp; retweet this $500 -$2000 through CashA…,,,,,,,
Saint William!  #COVID19,,,,,,,
RT @bobpixel: The storm that just hit the capital . Guess living on a hill has its advantages. ,,,,,,,
Dji mavic 2 pro,,,,,,,
Ablekuma Agape #emmanuelbob…, April 15, 4:00 pm Sydney time), we will introduce the course and…,,,,
RT @VonWolf9: 'This is so irresponsible': 'Covidiot' blogger faces backlash for leaving New York City after COVID-19 diagnosis https://t.co…, German #COVID19 deaths are still rising in line with UK/Italy/France traj…,,,,,,
RT @effucktivehumor: Maharaj dealing with COVID-19 like a boss 🚩 https://t.co/CdrdZA1rjM, in people's lives, with food, testing and protection. ,,,,
@Shadowworld66 @CarolineForehan @Not_As_Bytchi @brianstelter She prolly making her point while dealing with Covid-1… https://t.co/ElvND2PsyK,,,,,,,
{Watch Video} Bill Gates Revealed Coronavirus 5 Years Ago To Affirm Conspiracies,,,,,,,
https://t.co/wFofxDwved,,,,,,,
#covid19… https://t.co/ZMZbSz0I8K," the Indian Council of Medical Research issued an advisory ""to start rapid antibody-based blood tests for CO…",,,,,,
"Instead of accepting responsibility for the administration's laggard, chaotic response, Trump has launched a full-… https://t.co/p8ilhSyz1Q,
RT @ANI: Madhya Pradesh: Nahru Khan, a 62-year-man from Mandsaur has developed an automatic sanitization machine and donated it to Indira G…,
RT @realTuckFrumper: Pink Recovers From COVID-19, Donates $1 Million To Health-Care Funds https://t.co/X8cs9bOCcy,
RT @atlcopo: that’s ridiculous,
RT @JordanSchachtel: Again, you are *attributing* the bending of the curve to lockdown. If in fact millions of ppl there had already acquir…,
RT @Emma_Tsebe: Boko Haram Warehouse busted by Chad Military coz their sponsors are affected by Covid19.

It means South Africa should use…,
RT @tribelaw: What if we were to learn that Trump suppressed scary information re COVID-19 (and the needed federal response) in January to…,
RT @J_CD_T: An article in El País showed a similar discrepancy in total deaths and covid-19 deaths for several regions in Spain, based on f…,
RT @DDNewslive: Actress @yamigautam appeals to the people to stay at home during lockdown and use mask if required to go out in the wake of…,
RT @AyshaRenna: Stop portraying #COVID19 patients as terrorists
Start effective testing for finding patients instead

#TestKaroNa,
RT @IamJonSantiago: I feel things are picking up in Boston, not just in volume but in how sick these #covid19 #coronavirus patients  are pr…,
@YungMoe_7 Just hold your money and your covid 19 test... lol,
RT @IngrahamAngle: Would be an excellent move for POTUS to expand his medical team to include physicians treating  COVID-19 patients— not j…,
Truth!,
RT @DavidColeACLU: As we say at @ACLU , let the people vote. What are the Republicans afraid of? https://t.co/izaJZJD9r2,
RT @DisTrumpia: At 8 am yesterday, the number of #coronavirus deaths was 7,063. At 9:30 am today, it was at 9,038. How do you think you're…,
@jonmchu @AppleTV @Variety Bored? Stuck at home due to #COVID19

Crossnumber Game is available in iOS. Play it now!… https://t.co/KB2ndNnc0L,
RT @brian_tev: Actually Houston &amp; Miami have more intern'l traffic per capita. Neither has the issues.  NYC encouraged people to go to rest…,
@jodywisternoff silver lining of this whole Covid situation...Plenty of time to go through my old records looking f… https://t.co/hotHds0tfq,
Jesus gave Up on America when it pick a Lier for President,
RT @rashtrapatibhvn: President Kovind with the First Lady and members of the family joined fellow citizens in demonstrating collective soli…,
RT @CameronNBeach: My dad’s an ER doctor. He just got off of a conference call. His hospital is cutting his salary - and everyone else’s th…,
RT @xZahida: So can people who are as ignorant as this be denied of NHS treatment/or put to the very back of the list when it comes to that…,
RT @fisayosoyombo: In Osun, a patient escaped from the isolation cenre. Thankfully, she has been found.

In Lagos, a patient &amp; his family d…,
RT @MikeLarsenOH: My daughter is a front-line medical worker and was told she’ll face a 15% pay cut due to fewer elective surgeries at the…,
RT @rachsieg: Raul replayed all the faces of people he drove on Saturday", wash your hands, stay at home, protect the… https://t.co/SgT3V04On2,,,,
RT @BrettEHouse: Having a wild weekend? Nah, for a total of 262 #NovaScotia @CTVAtlantic https://t.co…,,,,,,
RT @hrithika_kk: Praying for a speedy recovery for all those who are suffering due to covid 19, here is the next task. On 10th April at exactly 10 PM, please come outside…,,,,,
I really hope y'all get well soon,,,,,,,
But if a…,,,,,,,
what the fuck, have switched off the lights…,,,,,,
RT @LonnieRhea: @tmprowell @ASH_hematology Massachusetts and Colorado,,,,,,,
RT @MichaelJStern1: @JeromeAdamsMD @soledadobrien 1) Until a few days ago you insisted surgical masks offered no protection against Covid-1…,,,,,,,
RT @DSGovernment: UPDATE:, by posing as NHS workers testing for Covid-19. ,,,,,,
Please note that citizens and residents of Delta State that are still working during this emergency period must…,,,,,,,
Great work.,,,,,,,
RT @Spring_of_Adven: Unfortunately, my family members are positive covid-19. Some are in t…,,,,,,
RT @edwest: What a man," not from ""bats"" or ""wet markets.""  Was it done on…",,,,,,
RT @prasannavishy: Cure for COVID-19? Cuba to share 'wonder drug' with Kerala -  Last Week Report In Leading Malayali Outfit The Week., delays, &amp; dysfunction cost lives ,,,,,
Comi…, delays, &amp; dysfunction cost lives…,,,,,
RT @nbcsandiego: Since schools were closed during the COVID-19 outbreak, I pray you get well soon really fast and that you be healthy always. https://t.co/1Th4bFFmyp,,,,,,
@N_AmerSolutions And isn't it funny how the two countries that were under severe govt protests from Millions had on… https://t.co/hgIunfpTYy,,,,,,,
he may be more effective in the classroom. a change in career might be something to consider. just saying.,,,,,,,
@Franklin_Graham U R just a man nothing more than any other person in this world. U don’t speak for God. #COVID19 i… https://t.co/KXkb8ooiAo, I asked if your kids had any questions about COVID-19. Turns out they did - thousands of great ones were q…,,,,,,
RT @Tiffani_Bova: Thank you to all the medical workers and first responders who are fighting #COVIDー19 from the top of the @salesforce towe…,  USA has… https://t.co/iBJMZTMoV9,,,,,,
RT @GretchenKoch: Perhaps the top two reasons why Covid-19 is an argument for having had universal healthcare decades ago are:,,,,,,,
1. Millions…,,,,,,,
@narendramodi Covid-19,,,,,,,
RT @Jordybouletviau: Thank you to everyone who takes the #COVID19 seriously.,,,,,,,
Thank you to every nurses,,,,,,,
@simulx I’ve even misread the drift of your post. Erik. Late to the ‘this is not ARDS’ angle. Interesting stuff out… https://t.co/tjiTjdh8vt,,,,,,,
RT @DavidNdii: Our ngaatis (homeguards) are obsessed with subservience of the populace. Their biggest phobia since colonial times is a nati…, Soaps, @Herring1967 and other never ending stories: https://t.co/oqW6qXuNUJ,,,,,
RT @GandalftheWhi19: By January 2020 it was impossible not to see where the #COVID19 crisis was going.,,,,,,,
The leaders of Europe are either in…, mitig…,,,,,,
RT @moshwithtyler: honestly dude, Margaret, would be a false statement. We are struggling to get it under…,,,,,
fuck COVID19, it never was.)…28 students fr…,,,,,,
go hug your friends,,,,,,,
spend time with them,,,,,,,
go on dates, there is a fire, please send help!”,,,,,
meet new people, we’ll send you a graphic designer who also has an anthropol…,,,,,,
re…,,,,,,,
COVID-19: UBTH confirms 1 death; 25 doctors at risk https://t.co/NYrPMTYMna via https://t.co/hmXrUrdpYy,,,,,,,
RT @debraraes: Democrats lied about Trump and the COVID. Now #BiteMeJoe is too. https://t.co/IqwzjBHwfL  #ImpeachmentHoax2 #StopTheSteal #L…,,,,,,,
RT @NIHRresearch: In this evening's daily briefing @MattHancock talked about important new #Covid19 research. Among others the RECOVERY tri…,,,,,,,
Ohh my God. Sir plz take necessary steps as soon as possible. And safe our Odisha.,  if you're staying at… https://t.co/bDtCcZ9wPH,,,,,,
yup! currently going on at my place of employment too :(,,,,,,,
RT @CBCAlerts: Justin Trudeau says the government is offering full-time jobs to all Canadian Armed Forces reservists for the coming months:…,,,,,,,
RT @CPHO_Canada: 1/2 Children are also experiencing stress and anxiety related to #COVID19 and the changes that it has brought to everyday…,,,,,,,
RT @draaarkk: @Mega_Kannadiga Congrats @narendramodi for the innovative idea of bursting crackers to eradicate  the COVID 19 pandemic .From…,,,,,,,
english ppl are so f cking stupid 😐 , we see that inevitable death imposes itse…,,,,,,
https://t.co/6wieSN1Cl6,,,,,,,
RT @VijuyRonjan: Proud to be a member of #NOBA. Netarhat School always taught us to give back to society in whatever way we can. NOBA Pariv…,,,,,,,
RT @AlbertaGrl: Not true @globalnews. When Dr Fauci was still saying they were at low risk in Jan Trump was closing the flights from China:…,,,,,,,
RT @maryashakil: It’s time to show our confidence in our collective fight against #Covid19. Light for india's unity #9pm9minute,,,,,,,
RT @MontyBoa99: @bobmangold @ASlavitt The feds delivered *non-working* tests. The chemicals needed to run them were defective.,,,,,,,
Replacements…,,,,,,,
RT @JARodriguezJr: The video is in Spanish but you clearly see what is happening. The first masks are homemade. The last 3 are certified. T…,,,,,,,
Plz God help India from Covid19 https://t.co/Q7c8xWzmJO,,,,,,,
 https://t.co/ah3n3bVCMD,,,,,,,
Vencer al COVID19 #México https://t.co/lft57SyNb9,,,,,,,
RT @GmanFan45: Gross! COVID-19 phase 2🐢Chinese woman eat a turtle whole. We need to end 3rd world immigration. These pandemics will never e…,,,,,,,
@__prashanth__ @AgentSaffron finally. ,,,,,,,
it is caution only,,,,,,,
@BalvinderITV This was my coming out of covid self isolation meal,,,,,,,
Genuinely no need to go sit in a park if you have a back garden. Don’t get it.,,,,,,,
RT @MilitaryTimes: Multiple patients on hospital ship test positive for COVID-19. https://t.co/ThfeEW692L https://t.co/zsP9qxeb3j, blunt, sobering but also optimistic. He tells us things that can…,,,,,
COVID-19 pandemic taking toll on Canadians’ mental health: survey – Global News https://t.co/p4jdhkYl3a,,,,,,,
GOP loves dead people.,,,,,,,
"RT @mikenavallo: College Editors Guild of PH condemns ""blatant suppression"" of democratic rights after the EIC of UE Dawn was forced to apo…",,,,,,,
https://t.co/cUYsFGsL2s,,,,,,,
RT @O_binn_a: Finally ,,,,,,,
RT @SaketGokhale: The only way to get Modi to conduct more Covid-19 tests in India is to promise him 1 Opposition MLA for every 1000 tests…,,,,,,,
RT @Urvillagepple_: Nurses: We know so much about Covid-19 more than any other person," sobering"" numbers released by the province that suggest…",,,,,,
Doctors: We also know so much about Covid-19,,,,,,,
WhatsAp…,,,,,,,
RT @Roger_Boaden: .@MattHancock,,,,,,,
BUT he’ll be contagious until 16…, have switched off the lights…,,,,,,
RT @norbalm: Update 19h45 #Pakistan #COVID19 April 05,,,,,,,
NOTE: Testing numbers from NIH received but are not available on their public…,,,,,,,
United we win...lets us all stand together to fight against COVID19 https://t.co/u6c2TyWCUM,,,,,,,
Retweet if you think this is #covid19 #patientzero https://t.co/m1VmsgqWNl, Germany, Brazil, Cuba, France and now B… https://t.co/7wlXB7tyF8,,,
RT @tonytogolani: The #COVID19 has shown which part of the world between West and Africa is really closer to China, people gathered on balconies and lit diyas and candles.,,,,,,
RT @YousefMunayyer: While mosques are closed across much of the Arab and Muslim world to prevent COVID spread,,,,,,,
RT @BeccaRay91: Say what?!,,,,,,,
RT @CBCNews: COVID-19 update: Trudeau addresses Canadians | Special coverage with @RosieBarton https://t.co/4NWhrrFPrB https://t.co/by9PtlY…,,,,,,,
RT @ArtCrunchy: The UK is not a Democracy,,,,,,,
😷Labour has joined the Tories,,,,,,,
😷Corbyn was Crucified,,,,,,,
😷Israel is an apartheid state,,,,,,,
😷US imperialism…," as he headed toward Calvary: ""A nation will be judged by how it treats the least of these."" That means", if we…,,,,,
Just like for vegetables/fruits,,,,,,,
@FreddyForay @hcpgroup1 @hcpmoto - Healthcare Professionals(HcP) sponsor @DannyWebb99 . Our NHS staff are on the fr… https://t.co/vaJNGbuV4h, have switched off the lights…,,,,,,
RT @peterbrownbarra: Has Prince Charles resigned yet for taking a troop of covid19 infected people to Balmoral?,,,,,,,
RT @bbcnickrobinson: Has any council or any country tried the idea of rotas - rather than closures - for parks? Being locked down in a smal…,,,,,,,
This makes me angry.,000 worldwide. ,,,,,,
It's the day to fight against COVID-19 and we will surely be doing it after the day i.e. today,,,,,,,
By lightning Diyas a… https://t.co/FVoriPnfEZ,,,,,,,
A bit of stock market levity in these Covid times.  Bear Market Bingo., she has all the symptoms and could…,,,,,,
https://t.co/pRx72uvFbE,,,,,,,
RT @dclark551: Just another reason to take any stats coming from the CDC with a grain of salt and 2 aspirins.,,,,,,,
How many non-COVID deaths are…,,,,,,,
In the back of my mind these reach and set up long time. Didn’t expect this but I’m not surprised, in order to increase fo…,,,,,,
I’ve worshipped with my daughter,,,,,,,
RT @tmprowell: #COVID19 @ASH_hematology, we know it will take time… https://t.co/QaCg8TC4ZO,,,,,,
@alexcpelletier @Nathanielgins @universalhub @BOS311 Baseball field is closed.  You were in the wrong.  So was he.… https://t.co/kLy28x5Di0,,,,,,,
RT @AustinChinese: Our medical professionals are fighting COVID-19 on the front-line to save our lives; ACAN keep them safe by providing fa…,,,,,,,
Our response will be:-, Mawid.,,,,,,
Need at least another year of control studies and testing,,,,,,,
Like it has been with everything… https://t.co/Ag3HG8ww3v," broken"" tests from the  Obama administration.",,,,,,
Everywhere. No electives = no money. Empty hospitals just waiting.....supposed to be waiting on covid influx but ac… https://t.co/ORAbFWM6C3,,,,,,,
covid has ruined everything except bbq's #quarentine #COVID19,,,,,,,
Earth’s environment is balancing due to lockdowns in many countries. @GretaThunberg be like,,,,,,,
RT @Mishabajwaz: All lights ON at house on April 5 @9pm. As I don't get it,,,,,,,
@TelanganaGuv we have fulfilled the appeal of our prime minister and My 2 year old son Sai Aadit and my 8 year old… https://t.co/QlizQgq9u3,,,,,,,
RT @kawalpreetdu: Dubai returned man came to India on 17th March (not screened at Airport) for his mother funeral,,,,,,,
RT @IntEngineering: The world’s largest furniture retailer is undertaking many eco-friendly initiatives.,,,,,,,
https://t.co/Waoj5vIV3Q, Ismail Mohamed Abdulwahab. He died in the hospital from COVID-19. He died…,,,,,,
RT @manogyaloiwal: #9pm9minute,,,,,,,
रौशन है रोशनी से 💡🕯,,,,,,,
And God said...let there be #Light , the number of #coronavirus deaths was 7,063. At 9:30 am today, it was at 9,038. How do you think you're…,,,
#coronawarrior,,,,,,,
#coronavirus https://t.co/V…, @narendramodi ji requested for 9. ,,,,,,
RT @morganastra: heteros who've never had an sti test in their lives could fuck a complete stranger in the red cross bathroom right before…,specia…,,,,,,
If your child has covid symptoms,,,,,,,
Showing solidarity &amp; confidence in our collective fight against #COVID19 #9MinutesForIndia  #9बजे9मिनट #LightsOff… https://t.co/m7G5gv9zb9,,,,,,,
RT @JasonOverstreet: BOSS-ASS QUEENS!,,,,,,,
Both. https://t.co/5XqBrvDxWZ,,,,,,,
RT @sbloom: New Jersey needs COBAL programmers for COVID response https://t.co/hjvWRieCYk,,,,,,,
How do you plan for a #worldwide #depression post #COVID19? My Poppa (1918-2008) would say — Learn from the past th… https://t.co/PInoJNBpwn, our frontline work…,,,,,,
RT @TroyMGood1: What do you think about this??,,,,,,,
I'm really at a loss.... I believe it is time to open up and get back to work. ,,,,,,,
If YOU are…,,,,,,,
RT @Camila_Vergara: President of Chile,,,,,,,
This is the opening for a new story. I would like to hear from you. Does this opening have you wanting to hear the… https://t.co/OYxmh4MpY8, I wish to thank our frontline health workers, members of the Lagos State Health Family and the Emergency Oper…,,,,,
RT @travis_robert: Let this sink in: NYC's speed cameras issued 11% more summonses in March than during a comparable period in January, yesterday I announced the discharge of one more patient from our Infectious Disease Hospital, Yaba. ,,,,,
@BPalmaymesa @paulsperry_ @DineshDSouza I live in rural King Co. WA,,,,,,,
RT @Intergrity56: The rate at which Mobile Data  finishes is suspicious.,,,,,,,
I hope that's not Corona's handwork?  🤔, b… https://t.co/1M4FPn8dfs,,,,,,
🖋 Support kelly by signing “Keep me safe. Enforce mask usage.” and I’ll deliver a copy to your officials too:… https://t.co/DzHEEki5bf,,,,,,,
Families running away from #COVID19 #hotspots coming to #PuertoRico on leisure boats pose a threat of a multiplying… https://t.co/luggfiC84E,,,,,,,
RT @BrianCaskeyNC: In this short video,,,,,,,
RT @JMBooyah: Sweetie everyone’s already washing their hands five+ times a day,,,,,,,
yup,,,,,,,
The headache,,,,,,,
RT @paleofuture: Every time I get a covid-19 update from Alaska I remember that Trump used it as an example of somewhere that wouldn’t need…,,,,,,,
RT @DrEdFitzgerald: The paradox for medical student involvement in #COVID19 — this is a great article in @TheLancet, have switched off the lights…,,,,,,
RT @CPHO_Canada: 2/2 As we experience this unprecedented event in history – it’s important for kids to express their emotions. Kids Write i…,,,,,,,
Mum had a text few weeks ago from the nhs saying she was in high risk category &amp; isolate for 12 weeks. Today her wo… https://t.co/BmOic0wnvu, people were forced to stay at home, tourism ended and compan… https://t.co/MGXkeeUUsG,,,,,
RT @FDNY: FDNY urges New Yorkers to only call 911 during a real emergency. Please allow first responders to assist those most in need. Only…,2020, ...[it was], reported that the SNS has between 12,000 and 13,000 ventilat… https://t.co/ns5khed592,,
RT @JonAinLV: #AI #Automation #CoronaVirus #COVID19 ,,,,,,,
https://t.co/ywDvJsjqNU | https://t.co/cJuI4e1noP | https://t.co/fIuOwwRDyF | https://…," ""It's trivial. More people die of flu", of car crashes," of cancer.."" as if that justif…",,,,
Once this is over, we know having access to diagnostic tests is critical to helping curb the coronavirus pandemic. We wil…,,,,,,
As a father lay dying of Covid-19,,,,,,,
RT @okotoksmatt: @MichelleRempel Dr Tam is a follower,,,,,,,
She has been 2-3 weeks behind on everything during the covid-19 cris…, have switched off the lights…,,,,,,
Must must read this piece by @susandominus about the first Covid-19 patient in New Jersey. https://t.co/RwhTf0OkDf,,,,,,,
RT @DocMCohen: Is this right,,,,,,,
@aajtak ,,,,,,,
We have PM like MODI Sir who have created some magic to our life and we believe that Modi Sir will save India from this COVID-19.,,,,,,,
@andylassner This drug has no proven effect on covid patients, as of today, the TDH is still only reporting 3…,,,,,
RT @chao_mbogho: Lakini hizi pesa huwa zinaenda wapi? , delays, &amp; dysfunction cost lives ,,,,,
No, delays, &amp; dysfunction cost lives…,,,,,
RT @Tombx7M: Imagine if Obama had a media like this?, structural change. This from the Financial Times editorial:,,,,,,
Any thoughts?,,,,,,,
#FoxAndFriends #Tcot #Ccot #COVID19 #KAG2020 ,,,,,,,
#Trump2020 #SaturdayThoug…,,,,,,,
With basically everyone in North America owning a cell phone,,,,,,,
ibh rtx sfg iru fuw ukn yyg elp xmt qss hkm xov dvi gdg mzd kow avk acf bcw slp mhl  COVID CDTV Covid_19 Prior Jorg… https://t.co/mJu83V49rf,,,,,,,
I recommend Aarogya Setu app to fight against COVID19. Please download and share it using this link Android :… https://t.co/ThVusFOFCj,,,,,,,
The worst part of the #StayAtHome if you're single and live alone,,,,,,,
RT @eNCA: It's the second Sunday of #Day10ofLockdown. Some churches are going online to spread the word and not the virus. #eNCA's @KhayaJa…,,,,,,,
RT @newjonnyberlin: #AngelaRayner , have switched off the lights…,,,,,,
Blah,,,,,,,
Has this idiot not been watching the daily briefings.....everything she m…,,,,,,,
RT @TutumaZW: Sweden prepares for possible tighter #coronavirus measures as deaths rise.,,,,,,,
#COVID19 #stayhome ,,,,,,,
Social distancing is LOVE,,,,,,,
htt…,,,,,,,
RT @vanitajain21: #9PM9minute , Learn &amp; Share!,,,,,,
RT @David_rp90: AI Can Help Us Fight Infectious Diseases In A More Effective Way ,,,,,,,
 #ai #artificialintelligence #MachineLearning #coronavir…,,,,,,,
RT @screwloose1980: Hillsborough club to not reopen. ,,,,,,,
IMPORTANT NOTICE TO OUR CUSTOMERS, please be honest. Don't be selfish. Case 1580 is from Ita…,,,,,,
It is with a heavy heart and great sadness that w…,,,,,,,
RT @MillerCrime: #Autistic,,,,,,,
I am safely reporting from Canada &amp; exposing #…,,,,,,,
RT @Cocofritz: Dr. Fauci is NOT who he purports to be. He's making it up as he goes &amp; he's deceiving us. If WE know this,,,,,,,
"Ok so the Covid is no longer a plot by the ""deep state"" or the illuminati now its 5G... ugff I hate it here...",,,,,,,
I think @Casey should go to New York and do a documentary mini film about COVID-19 and promote a charity that raise… https://t.co/252tqlFAEU, ventilators and…,,,,,,
My nine minutes tribute to everyone fighting for Covid-19. https://t.co/kT50VCDbQh,,,,,,,
@olivercallan If we were in this together Varadkar wouldn't exclude SF from any national unity Gov., yesterday I announced the discharge of one more patient from our Infectious Disease Hospital, Yaba. ,,,,,
https://t.co/7js1I3owby,,,,,,,
RT @amarmeenaa: PM Cares Fund: STPI employees to contribute one-day salary to fight Covid-19,,,,,,,
Anyone that new dies from pneumonia is automatically a Covid death.  The numbers are being manipulated.  We are bei… https://t.co/LinReaoQE0, yesterday I announced the discharge of one more patient from our Infectious Disease Hospital, Yaba. ,,,,,
RT @Boerboelguard: Another one of the filthy animals at work,,,,,,,
Tell me,,,,,,,
RT @Karlathereales1: Can’t believe dumb bitches like her really be acting this disgusting. Carrollton / Farmers Branch &amp; Dallas area be car…,,,,,,,
Viral: 18 perspectives on the COVID-19 pandemic ,,,,,,,
Different opinions and experiences from people all over the world… https://t.co/2i61XbcVEk,,,,,,,
@soult @shelinad @LoveChesterleSt @ShopChesterLeSt We need them on all platforms @soult   - slow but hopefully they… https://t.co/oILc7BEkZl,,,,,,,
@NCVBoydBurgess @costiwhinn Covid nineteen news is immune,,,,,,,
In solidarity with each and every single person who is playing their part. We are all in this together and shall ov… https://t.co/pUMqrbmUz6,,,,,,,
#LATEST A total of 62, 0.03% of NYC residents died from COVID-19.  ,,,,,,
RT @pgorski: Creating online COVID-19-safe self-paced workshops. Screenshot from first attempt: recording me talking through a slide. Want…, you…,,,,,,
RT @MiniiAdventurer: Even if you can’t afford to purchase prints right now because of how #COVID19 has affected you. Please atleast share m…, pls take 3 minutes to fill out the voluntary @StatCan_eng/@StatCan_fra #Covid_19 survey. Spread the word, espe…,,,,,
RT @anthonyvclark20: In Chicago," the ""sweet death"" caused by the Physical inactivity pandemic is still the fourth leading cause of de…",,,,,,
the issues are interconnected &amp; the solutions must have a focus on racia…,,,,,,,
The government are doing a great job and the msm should get behind them,,,,,,,
RT @VSPPIO: OK,,,,,,,
RT @AshishTekale: Hon. Gadkariji,,,,,,,
All efforts of Govt will go down the drain since from tomorrow there will huge rush in all branches of Ba…,,,,,,,
RT @RaviBarodUrol: just finished 3 x 12h shifts with other surgeons and students proning #covid19 patients on ICU  @RoyalFreeNHS... , solidarity and resilience by the nation. The message is clear. We will figh… https://t.co/P7UcYwecyU,,,,,,
all I…,,,,,,,
RT @WeBankerss: Public sector Banks r always at front when it comes to serve the nation in every possible way. One side PSBs through Branch…,000 worldwide. ,,,,,,
@free_thinker Rate of doubling of Covid-19 cases is 4.1 days; without the Jamaat incident it would have been at 7.4… https://t.co/8aVo6Qpe2H,,,,,,,
RT @WFTV: LIVE UPDATES: At 102K, an untrustworthy FBI and DOJ, a batshit crazy House Speaker &amp;  FAKE liberal media.     ,,,,,
@Sukant_Khurana Not COVID-19,,,,,,,
RT @DanaArschin: For the first time since the #COVID19 pandemic started,,,,,,,
@JaVonniBrustow We are going to test drive it on health care workers and 1st responders first. ,,,,,,,
If it doesn't work… https://t.co/nOkJjWPySd,,,,,,,
Coronavirus death toll: Americans are almost certainly dying of covid-19 but being left out of the official count😥🤬 https://t.co/32jdizoE0j,  take it seriously.… https://t.co/JkfC6og1Ad,,,,,,
@C_3C_3 @Hankus12 You can’t even get a fair comparison because they are listing deaths from all kinds of ailments a… https://t.co/nAGTkoB5jy, what we don’t, and how bad things could get in the comi…,,,,,
RT @clepton9: We salute to the medical staff ,,,,,,,
RT @ReneaProffitt: @brattybabe5 @Realpersonpltcs My cousin passed Tuesday. A stroke. They called his daughter two days later and told her h…, thank you,,,,,,
RT @iamsrk: You are all doing a great service. We at @MeerFoundation are glad we could be of assistance.,,,,,,,
RT @WayneDupreeShow: While America is struggling to hang on economically,,,,,,,
RT @AlcoholChangeUK: If you were accessing support services for your drinking before #Covid19 measures put large parts of the world on lock…, Uganda Communication Commission @UCC_Official which regulates the communicati… https://t.co/pLYcP4okHv,,,,,,
It's getting very difficult to make some people understand the situation.,,,,,,,
COVID-19 May have brought life to a slowing halt,,,,,,,
RT @SarahOwen_: Such awful news. NHS nurse,,,,,,,
RT @IlvesToomas: The horrifying video yesterday of police thugs manhandling a woman was of this doctor. Her crime? She challenged the offic…,,,,,,,
I swear I go report anyone wey send me any 5G nonsense to NCDC.., 70% of COVID-19 Deaths Are Black https://t.co/ZAJ6yOvwRt,,,,,,
Dem suppose go lock dem together with Covid-19 pa… https://t.co/2eyaedYH8e, my 95 year old father lost his life to Covid19. He was in excellent health just a few weeks ago. Please…,,,,,,
@jbi325 @david_starof @m_jew @Joseetje3 @AlbertGooner @PriestSanity @dlsmith0817 @passtheduchi @PeterSfaOne… https://t.co/0nrs7qwKsz,,,,,,,
RT @Katy_Scarletta: Coronavirus updates: Seven further deaths and 91 more Covid-19 cases confirmed in Northern Ireland https://t.co/dTzwMmg…,” which is to say: not at al…,,,,,,
COVID-19 Webinars - Culturally Responsive Teaching &amp; the Brain https://t.co/QCIJGe74LN,you need not to tell the Europeans,Americans or the Asians;You should lo…,,,,,
Absurd,,,,,,,
RT @Rizzmiggiz: It's still unbelievable how much more useful these New York COVID-19 press conferences are compared to the White House. Rea…,,,,,,,
RT @HayKay230: My dad made these eye shield covers using a 3D printer. We are short on PPE including goggles. Normal glasses are not suffic…,,,,,,,
When my husband went back to work from quarantining after a suspected case of COVID-19,,,,,,,
@ZSamriddh @thedentico Arey I know bro this is to show the unity..I just replied to the tweet where it was mention… https://t.co/gDilHpPFop,,,,,,,
RT @jason_carl_fox: I don’t usually rant but ffs! Stop flaunting the advice or this lockdown will go on longer and become tighter! Suck it…,,,,,,,
@DDNational !Jay Shree Siya Ram!,,,,,,,
! BharatMataKiJay !,,,,,,,
India will Defeated Corona,,,,,,,
RT @RepJerryNadler: As New York grapples with COVID-19,,,,,,,
...gratitude to all health workers that are on the frontlines to save lives,,,,,,,
"CDC Instructs Hospitals to List COVID-19 as Cause of Death Even If It's Only ""Assumed to Have Caused Or Contributed… https://t.co/Wt2VeCAav9",,,,,,,
